word,meaning,category  
accept,받아들이다,verb  
admire,존경하다,verb  
advise,조언하다,verb  
agree,동의하다,verb  
arrive,도착하다,verb  
ask,묻다,verb  
bake,굽다,verb  
believe,믿다,verb  
borrow,빌리다,verb  
build,건설하다,verb  
celebrate,축하하다,verb  
climb,오르다,verb  
collect,수집하다,verb  
communicate,소통하다,verb  
complete,완성하다,verb  
cook,요리하다,verb  
count,세다,verb  
dance,춤추다,verb  
deliver,배달하다,verb  
draw,그리다,verb  
animal,동물,noun  
answer,대답,noun  
apple,사과,noun  
book,책,noun  
car,자동차,noun  
city,도시,noun  
cloud,구름,noun  
color,색깔,noun  
country,나라,noun  
day,날,noun  
dream,꿈,noun  
earth,지구,noun  
egg,달걀,noun  
friend,친구,noun  
fruit,과일,noun  
game,게임,noun  
garden,정원,noun  
goal,목표,noun  
hand,손,noun  
home,집,noun  
big,큰,adjective  
small,작은,adjective  
happy,행복한,adjective  
sad,슬픈,adjective  
hot,뜨거운,adjective  
cold,추운,adjective  
fast,빠른,adjective  
slow,느린,adjective  
bright,밝은,adjective  
dark,어두운,adjective  
clean,깨끗한,adjective  
dirty,더러운,adjective  
easy,쉬운,adjective  
difficult,어려운,adjective  
new,새로운,adjective  
old,오래된,adjective  
young,어린,adjective  
tall,키가 큰,adjective  
short,키가 작은,adjective  
quickly,빨리,adverb  
slowly,천천히,adverb  
carefully,조심스럽게,adverb  
loudly,큰 소리로,adverb  
quietly,조용히,adverb  
happily,행복하게,adverb  
sadly,슬프게,adverb  
easily,쉽게,adverb  
hardly,거의 ~않다,adverb  
well,잘,adverb  
badly,나쁘게,adverb  
not only A but also B,A뿐만 아니라 B도,phrase  
on behalf of,~을 대신하여,phrase  
in front of,~앞에,phrase  
in the middle of,~한가운데에,phrase  
by the way,그런데,phrase  
all of a sudden,갑자기,phrase  
as well as,~뿐만 아니라,phrase  
instead of,~대신에,phrase  
even though,비록 ~일지라도,phrase  
as long as,~하는 한,phrase
enjoy,즐기다,verb  
enter,들어가다,verb  
explore,탐험하다,verb  
fail,실패하다,verb  
fix,고치다,verb  
follow,따르다,verb  
greet,인사하다,verb  
guess,추측하다,verb  
help,돕다,verb  
hope,바라다,verb  
invite,초대하다,verb  
jump,뛰다,verb  
knock,노크하다,verb  
laugh,웃다,verb  
learn,배우다,verb  
listen,듣다,verb  
move,움직이다,verb  
offer,제공하다,verb  
open,열다,verb  
paint,그리다,verb  
idea,아이디어,noun  
job,직업,noun  
key,열쇠,noun  
language,언어,noun  
light,빛,noun  
love,사랑,noun  
money,돈,noun  
moon,달,noun  
morning,아침,noun  
mountain,산,noun  
name,이름,noun  
night,밤,noun  
noise,소음,noun  
ocean,바다,noun  
paper,종이,noun  
park,공원,noun  
pencil,연필,noun  
people,사람들,noun  
phone,전화,noun  
plant,식물,noun  
strong,강한,adjective  
weak,약한,adjective  
soft,부드러운,adjective  
hard,단단한,adjective  
noisy,시끄러운,adjective  
quiet,조용한,adjective  
brave,용감한,adjective  
scared,두려운,adjective  
kind,친절한,adjective  
mean,심술궂은,adjective  
funny,재미있는,adjective  
serious,진지한,adjective  
curious,호기심 많은,adjective  
gentle,부드러운,adjective  
honest,정직한,adjective  
polite,예의 바른,adjective  
together,함께,adverb  
alone,혼자,adverb  
